instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
73,2011-03-14,1,0,3,0,1,1,1,32.5217,33.2,0.496957,0.136926,359,1687,2046
74,2011-03-15,1,0,3,0,2,1,2,31.7391,31.8178,0.655652,0.184309,289,1767,2056
75,2011-03-16,1,0,3,0,3,1,2,36.5217,36.69300000000001,0.776522,0.203117,321,1871,2192
76,2011-03-17,1,0,3,0,4,1,1,41.5,41.0333,0.602917,0.209579,424,2320,2744
77,2011-03-18,1,0,3,0,5,1,1,54.0,52.7009,0.525217,0.231017,884,2355,3239
78,2011-03-19,1,0,3,0,6,0,1,47.25,46.6525,0.379167,0.368167,1424,1693,3117
79,2011-03-20,1,0,3,0,0,0,1,33.25,32.575,0.47375,0.207721,1047,1424,2471
80,2011-03-21,2,0,3,0,1,1,2,43.0435,40.9735,0.737391,0.288783,401,1676,2077
81,2011-03-22,2,0,3,0,2,1,1,44.16670000000001,44.06420000000001,0.624583,0.22575,460,2243,2703
82,2011-03-23,2,0,3,0,3,1,2,34.6957,33.7939,0.839565,0.234261,203,1918,2121
83,2011-03-24,2,0,3,0,4,1,2,28.5,27.0833,0.805833,0.243787,166,1699,1865
84,2011-03-25,2,0,3,0,5,1,1,26.4167,25.6312,0.495,0.230725,300,1910,2210
85,2011-03-26,2,0,3,0,6,0,1,26.5833,25.7571,0.394167,0.209571,981,1515,2496
86,2011-03-27,2,0,3,0,0,0,2,25.3043,25.0339,0.493913,0.1843,472,1221,1693
87,2011-03-28,2,0,3,0,1,1,1,26.434800000000006,25.7574,0.302174,0.212204,222,1806,2028
88,2011-03-29,2,0,3,0,2,1,1,30.25,29.2908,0.31416700000000003,0.226996,317,2108,2425
89,2011-03-30,2,0,3,0,3,1,2,30.0,29.735,0.646667,0.172888,168,1368,1536
90,2011-03-31,2,0,3,0,4,1,3,26.8333,25.7575,0.918333,0.217646,179,1506,1685
91,2011-04-01,2,0,4,0,5,1,2,30.0,28.3454,0.68625,0.258708,307,1920,2227
92,2011-04-02,2,0,4,0,6,0,2,31.5,31.5637,0.65375,0.197146,898,1354,2252
93,2011-04-03,2,0,4,0,0,0,1,37.8333,37.8767,0.48,0.182213,1651,1598,3249
94,2011-04-04,2,0,4,0,1,1,1,57.3333,54.2929,0.42625,0.385571,734,2381,3115
95,2011-04-05,2,0,4,0,2,1,2,41.4167,39.835,0.642083,0.388067,167,1628,1795
96,2011-04-06,2,0,4,0,3,1,1,39.0833,38.7608,0.470833,0.263063,413,2395,2808
97,2011-04-07,2,0,4,0,4,1,1,43.75,43.36960000000001,0.602917,0.16231199999999998,571,2570,3141
98,2011-04-08,2,0,4,0,5,1,2,33.5833,32.447900000000004,0.83625,0.226992,172,1299,1471
99,2011-04-09,2,0,4,0,6,0,2,34.25,34.152899999999995,0.8775,0.13308299999999998,879,1576,2455
100,2011-04-10,2,0,4,0,0,0,2,42.6667,42.6737,0.8575,0.146767,1188,1707,2895
101,2011-04-11,2,0,4,0,1,1,2,59.5652,56.5217,0.716956,0.324474,855,2493,3348
102,2011-04-12,2,0,4,0,2,1,2,50.24999999999999,49.3054,0.739167,0.274879,257,1777,2034
103,2011-04-13,2,0,4,0,3,1,2,41.25,41.7283,0.819167,0.25061700000000003,209,1953,2162
104,2011-04-14,2,0,4,0,4,1,1,46.75,46.2742,0.540417,0.1107,529,2738,3267
105,2011-04-15,2,0,4,1,5,0,1,44.6667,44.1913,0.67125,0.226375,642,2484,3126
106,2011-04-16,2,0,4,0,6,0,3,43.0833,42.5492,0.888333,0.340808,121,674,795
107,2011-04-17,2,0,4,0,0,0,1,45.6667,44.5696,0.479583,0.303496,1558,2186,3744
108,2011-04-18,2,0,4,0,1,1,1,51.24999999999999,50.3146,0.5425,0.16356700000000002,669,2760,3429
109,2011-04-19,2,0,4,0,2,1,2,50.5833,48.9258,0.665833,0.157971,409,2795,3204
110,2011-04-20,2,0,4,0,3,1,1,59.5,56.4392,0.614167,0.241925,613,3331,3944
111,2011-04-21,2,0,4,0,4,1,1,45.9167,45.3892,0.407083,0.325258,745,3444,4189
112,2011-04-22,2,0,4,0,5,1,2,33.6667,32.1954,0.729583,0.219521,177,1506,1683
113,2011-04-23,2,0,4,0,6,0,2,46.0,45.0121,0.887917,0.230725,1462,2574,4036
114,2011-04-24,2,0,4,0,0,0,2,58.16670000000001,55.1763,0.810833,0.192175,1710,2481,4191
115,2011-04-25,2,0,4,0,1,1,1,60.6667,57.45,0.776667,0.185333,773,3300,4073
116,2011-04-26,2,0,4,0,2,1,1,63.1667,59.4083,0.729167,0.3265,678,3722,4400
117,2011-04-27,2,0,4,0,3,1,2,62.0,57.5142,0.835417,0.3122,547,3325,3872
118,2011-04-28,2,0,4,0,4,1,2,61.75000000000001,57.8929,0.700833,0.320908,569,3489,4058
119,2011-04-29,2,0,4,0,5,1,1,51.0,49.7463,0.457083,0.240063,878,3717,4595
120,2011-04-30,2,0,4,0,6,0,1,47.25,46.4021,0.503333,0.235075,1965,3347,5312
121,2011-05-01,2,0,5,0,0,0,2,45.1667,44.8204,0.762083,0.106354,1138,2213,3351
122,2011-05-02,2,0,5,0,1,1,2,54.9167,53.2833,0.73,0.183454,847,3554,4401
123,2011-05-03,2,0,5,0,2,1,2,61.6667,58.2079,0.697083,0.342667,603,3848,4451
124,2011-05-04,2,0,5,0,3,1,2,41.4167,40.465,0.737083,0.328996,255,2378,2633
125,2011-05-05,2,0,5,0,4,1,1,45.9167,44.1917,0.444167,0.295392,614,3819,4433
126,2011-05-06,2,0,5,0,5,1,1,47.9167,47.4117,0.59,0.228246,894,3714,4608
127,2011-05-07,2,0,5,0,6,0,1,52.0,51.2621,0.54125,0.16045,1612,3102,4714
128,2011-05-08,2,0,5,0,0,0,1,52.8333,51.8933,0.631667,0.0746375,1401,2932,4333
129,2011-05-09,2,0,5,0,1,1,1,53.25,52.5246,0.58875,0.17600000000000002,664,3698,4362
130,2011-05-10,2,0,5,0,2,1,1,53.25,52.2721,0.489167,0.115671,694,4109,4803
131,2011-05-11,2,0,5,0,3,1,1,54.25,52.84,0.632917,0.120642,550,3632,4182
132,2011-05-12,2,0,5,0,4,1,1,53.5,52.3363,0.7475,0.189667,695,4169,4864
133,2011-05-13,2,0,5,0,5,1,2,51.24999999999999,49.43,0.863333,0.179725,692,3413,4105
134,2011-05-14,2,0,5,0,6,0,2,52.0833,50.0629,0.9225,0.13495,902,2507,3409
135,2011-05-15,2,0,5,0,0,0,2,56.25,53.6,0.867083,0.152979,1582,2971,4553
136,2011-05-16,2,0,5,0,1,1,1,57.75,55.0512,0.787917,0.126871,773,3185,3958
137,2011-05-17,2,0,5,0,2,1,2,56.16670000000001,53.85290000000001,0.837917,0.277354,678,3445,4123
138,2011-05-18,2,0,5,0,3,1,2,55.00000000000001,52.7158,0.87,0.201492,536,3319,3855
139,2011-05-19,2,0,5,0,4,1,2,53.0833,51.07420000000001,0.829583,0.10821300000000003,735,3840,4575
140,2011-05-20,2,0,5,0,5,1,1,53.6667,52.9042,0.719583,0.125013,909,4008,4917
141,2011-05-21,2,0,5,0,6,0,1,60.25,57.1975,0.626667,0.12065,2258,3547,5805
142,2011-05-22,2,0,5,0,0,0,1,60.4167,57.45,0.749583,0.148008,1576,3084,4660
143,2011-05-23,2,0,5,0,1,1,2,63.1667,59.0296,0.81,0.233842,836,3438,4274
144,2011-05-24,2,0,5,0,2,1,2,66.0,60.48130000000001,0.740833,0.207092,659,3833,4492
145,2011-05-25,2,0,5,0,3,1,1,66.0833,61.5542,0.69625,0.15423299999999998,740,4238,4978
146,2011-05-26,2,0,5,0,4,1,1,70.8333,65.4688,0.6775,0.199642,758,3919,4677
147,2011-05-27,2,0,5,0,5,1,1,68.1667,63.7008,0.65375,0.240679,871,3808,4679
148,2011-05-28,2,0,5,0,6,0,1,65.5833,61.2379,0.729583,0.230092,2001,2757,4758
149,2011-05-29,2,0,5,0,0,0,1,66.75,61.55500000000001,0.81875,0.213938,2355,2433,4788
150,2011-05-30,2,0,5,1,1,0,1,73.33330000000002,67.1092,0.685,0.131225,1549,2549,4098
151,2011-05-31,2,0,5,0,2,1,1,77.5,72.5383,0.636667,0.111329,673,3309,3982
152,2011-06-01,2,0,6,0,3,1,2,76.4167,72.0967,0.677083,0.207092,513,3461,3974
153,2011-06-02,2,0,6,0,4,1,1,71.5,64.3942,0.305,0.292287,736,4232,4968
154,2011-06-03,2,0,6,0,5,1,1,62.0,58.7133,0.354167,0.253121,898,4414,5312
155,2011-06-04,2,0,6,0,6,0,1,63.5,59.4696,0.45625,0.123142,1869,3473,5342
156,2011-06-05,2,0,6,0,0,0,2,64.83330000000001,61.6804,0.6525,0.138692,1685,3221,4906
157,2011-06-06,2,0,6,0,1,1,1,67.8333,62.1858,0.6,0.121896,673,3875,4548
158,2011-06-07,2,0,6,0,2,1,1,70.75,65.595,0.597917,0.187808,763,4070,4833
159,2011-06-08,2,0,6,0,3,1,1,77.5833,72.7279,0.6220829999999999,0.136817,676,3725,4401
160,2011-06-09,2,0,6,0,4,1,2,80.8333,75.7579,0.568333,0.149883,563,3352,3915
161,2011-06-10,2,0,6,0,5,1,1,75.5,70.3292,0.605,0.14055399999999998,815,3771,4586
162,2011-06-11,2,0,6,0,6,0,1,72.5,67.80380000000001,0.654583,0.15485,1729,3237,4966
163,2011-06-12,2,0,6,0,0,0,1,69.25,64.33250000000001,0.747917,0.16356700000000002,1467,2993,4460
164,2011-06-13,2,0,6,0,1,1,1,63.5,60.16540000000001,0.494583,0.30535,863,4157,5020
165,2011-06-14,2,0,6,0,2,1,1,60.4167,59.1546,0.507083,0.269283,727,4164,4891
166,2011-06-15,2,0,6,0,3,1,1,62.6667,58.7754,0.471667,0.16791199999999998,769,4411,5180
167,2011-06-16,2,0,6,0,4,1,2,62.8333,59.53460000000001,0.688333,0.206471,545,3222,3767
168,2011-06-17,2,0,6,0,5,1,1,64.9167,60.0383,0.735833,0.143029,863,3981,4844
169,2011-06-18,2,0,6,0,6,0,1,69.6667,64.39540000000001,0.670417,0.119408,1807,3312,5119
170,2011-06-19,2,0,6,0,0,0,2,69.91669999999999,64.58460000000001,0.666667,0.102,1639,3105,4744
171,2011-06-20,2,0,6,0,1,1,2,63.5,59.53460000000001,0.74625,0.155475,699,3311,4010
172,2011-06-21,3,0,6,0,2,1,2,68.08330000000001,63.7646,0.770417,0.171025,774,4061,4835
173,2011-06-22,3,0,6,0,3,1,1,73.33330000000002,69.3829,0.7075,0.172262,661,3846,4507
174,2011-06-23,3,0,6,0,4,1,2,72.8333,69.3833,0.703333,0.238804,746,4044,4790
175,2011-06-24,3,0,6,0,5,1,1,72.4167,65.6583,0.573333,0.222025,969,4022,4991
176,2011-06-25,3,0,6,0,6,0,1,69.5,64.3313,0.483333,0.209571,1782,3420,5202
177,2011-06-26,3,0,6,0,0,0,1,68.0,63.7629,0.513333,0.0945333,1920,3385,5305
178,2011-06-27,3,0,6,0,1,1,2,68.25,63.7004,0.658333,0.10758800000000003,854,3854,4708
179,2011-06-28,3,0,6,0,2,1,1,74.4167,69.2558,0.634167,0.144283,732,3916,4648
180,2011-06-29,3,0,6,0,3,1,1,72.8333,65.4688,0.497917,0.261821,848,4377,5225
181,2011-06-30,3,0,6,0,4,1,1,69.6667,63.7008,0.434167,0.185312,1027,4488,5515
182,2011-07-01,3,0,7,0,5,1,1,72.25,65.2162,0.39625,0.102608,1246,4116,5362
183,2011-07-02,3,0,7,0,6,0,1,73.83330000000002,66.7308,0.444583,0.11506199999999997,2204,2915,5119
184,2011-07-03,3,0,7,0,0,0,2,71.6667,66.8575,0.6825,0.228858,2282,2367,4649
185,2011-07-04,3,0,7,1,1,0,2,72.66669999999998,66.5417,0.637917,0.08147919999999999,3065,2978,6043
186,2011-07-05,3,0,7,0,2,1,1,74.66669999999998,69.63380000000001,0.590417,0.12625799999999998,1031,3634,4665
187,2011-07-06,3,0,7,0,3,1,1,72.0,68.5633,0.743333,0.149883,784,3845,4629
188,2011-07-07,3,0,7,0,4,1,1,75.0,68.6871,0.65125,0.1592,754,3838,4592
189,2011-07-08,3,0,7,0,5,1,2,70.9167,67.0483,0.757917,0.225129,692,3348,4040
190,2011-07-09,3,0,7,0,6,0,1,73.33330000000002,66.4158,0.609167,0.16791199999999998,1988,3348,5336
191,2011-07-10,3,0,7,0,0,0,1,74.75,69.0025,0.578333,0.183471,1743,3138,4881
192,2011-07-11,3,0,7,0,1,1,1,76.25,72.9804,0.635833,0.282337,723,3363,4086
193,2011-07-12,3,0,7,0,2,1,1,79.41669999999998,73.9275,0.559167,0.200254,662,3596,4258
194,2011-07-13,3,0,7,0,3,1,1,74.66669999999998,68.9404,0.631667,0.146133,748,3594,4342
195,2011-07-14,3,0,7,0,4,1,1,68.08330000000001,63.5104,0.47625,0.240667,888,4196,5084
196,2011-07-15,3,0,7,0,5,1,1,66.3333,62.4371,0.59125,0.182833,1318,4220,5538
197,2011-07-16,3,0,7,0,6,0,1,68.6667,63.8263,0.585,0.208342,2418,3505,5923
198,2011-07-17,3,0,7,0,0,0,1,71.9167,66.9833,0.604167,0.245033,2006,3296,5302
199,2011-07-18,3,0,7,0,1,1,1,74.66669999999998,70.3925,0.65125,0.215804,841,3617,4458
200,2011-07-19,3,0,7,0,2,1,1,77.6667,74.7479,0.650417,0.1306,752,3789,4541
201,2011-07-20,3,0,7,0,3,1,1,76.83330000000002,74.685,0.707083,0.113817,644,3688,4332
202,2011-07-21,3,0,7,0,4,1,2,81.5,82.6371,0.69125,0.222021,632,3152,3784
203,2011-07-22,3,0,7,0,5,1,1,84.8333,84.08959999999998,0.580417,0.1331,562,2825,3387
204,2011-07-23,3,0,7,0,6,0,1,84.9167,80.42869999999998,0.5,0.131221,987,2298,3285
205,2011-07-24,3,0,7,0,0,0,1,83.0,79.4829,0.550833,0.16917100000000002,1050,2556,3606
206,2011-07-25,3,0,7,0,1,1,1,74.33330000000002,72.0958,0.757083,0.0908083,568,3272,3840
207,2011-07-26,3,0,7,0,2,1,1,77.1667,69.6979,0.540833,0.200258,750,3840,4590
208,2011-07-27,3,0,7,0,3,1,1,77.5,69.0667,0.402917,0.183463,755,3901,4656
209,2011-07-28,3,0,7,0,4,1,1,77.9167,73.99,0.583333,0.178479,606,3784,4390
210,2011-07-29,3,0,7,0,5,1,1,83.8333,78.5967,0.5425,0.174138,670,3176,3846
211,2011-07-30,3,0,7,0,6,0,1,80.41669999999998,72.8537,0.465833,0.168537,1559,2916,4475
212,2011-07-31,3,0,7,0,0,0,1,80.58330000000002,72.9796,0.480833,0.16481300000000002,1524,2778,4302
213,2011-08-01,3,0,8,0,1,1,1,77.1667,70.3292,0.550833,0.156717,729,3537,4266
214,2011-08-02,3,0,8,0,2,1,1,78.3333,70.7071,0.49125,0.20585,801,4044,4845
215,2011-08-03,3,0,8,0,3,1,2,73.16669999999998,67.9937,0.6575,0.13558299999999998,467,3107,3574
216,2011-08-04,3,0,8,0,4,1,2,71.0,66.4788,0.7575,0.19715,799,3777,4576
217,2011-08-05,3,0,8,0,5,1,1,71.08330000000002,65.6567,0.630833,0.184696,1023,3843,4866
218,2011-08-06,3,0,8,0,6,0,2,71.6667,67.61540000000001,0.755,0.22825,1521,2773,4294
219,2011-08-07,3,0,8,0,0,0,1,74.25,71.5292,0.7529170000000001,0.201487,1298,2487,3785
220,2011-08-08,3,0,8,0,1,1,1,76.5,70.3283,0.592083,0.192175,846,3480,4326
221,2011-08-09,3,0,8,0,2,1,1,77.5,72.4121,0.570417,0.151121,907,3695,4602
222,2011-08-10,3,0,8,0,3,1,1,76.66669999999998,68.4983,0.424167,0.200258,884,3896,4780
223,2011-08-11,3,0,8,0,4,1,1,71.75,65.1521,0.42375,0.164796,812,3980,4792
224,2011-08-12,3,0,8,0,5,1,1,70.8333,65.4042,0.415,0.125621,1051,3854,4905
225,2011-08-13,3,0,8,0,6,0,2,68.58330000000001,64.5858,0.729583,0.211454,1504,2646,4150
226,2011-08-14,3,0,8,0,0,0,2,67.6667,62.43880000000001,0.8175,0.222633,1338,2482,3820
227,2011-08-15,3,0,8,0,1,1,1,66.5833,61.6167,0.712083,0.208954,775,3563,4338
228,2011-08-16,3,0,8,0,2,1,1,70.08330000000001,64.5837,0.578333,0.236329,721,4004,4725
229,2011-08-17,3,0,8,0,3,1,1,72.3333,66.6671,0.575417,0.14366700000000002,668,4026,4694
230,2011-08-18,3,0,8,0,4,1,1,71.1667,66.2258,0.654583,0.233208,639,3166,3805
231,2011-08-19,3,0,8,0,5,1,2,68.5,63.322100000000006,0.722917,0.139308,797,3356,4153
232,2011-08-20,3,0,8,0,6,0,1,69.75,64.8996,0.674167,0.104467,1914,3277,5191
233,2011-08-21,3,0,8,0,0,0,1,71.08330000000002,67.55250000000001,0.77,0.248754,1249,2624,3873
234,2011-08-22,3,0,8,0,1,1,1,69.1667,63.8254,0.47,0.27675,833,3925,4758
235,2011-08-23,3,0,8,0,2,1,1,64.0833,60.6067,0.455417,0.146763,1281,4614,5895
236,2011-08-24,3,0,8,0,3,1,1,67.3333,63.0692,0.605,0.253108,949,4181,5130
237,2011-08-25,3,0,8,0,4,1,2,68.41669999999999,64.5854,0.771667,0.210833,435,3107,3542
238,2011-08-26,3,0,8,0,5,1,1,70.0,65.9733,0.76125,0.0839625,768,3893,4661
239,2011-08-27,3,0,8,0,6,0,2,68.0,63.5556,0.85,0.375617,226,889,1115
240,2011-08-28,3,0,8,0,0,0,1,70.7059,64.7959,0.561765,0.304659,1415,2919,4334
241,2011-08-29,3,0,8,0,1,1,1,63.6667,60.7958,0.554583,0.159825,729,3905,4634
242,2011-08-30,3,0,8,0,2,1,1,63.91670000000001,59.4704,0.548333,0.12500799999999998,775,4429,5204
243,2011-08-31,3,0,8,0,3,1,1,65.6667,61.11210000000001,0.597917,0.08333330000000001,688,4370,5058
244,2011-09-01,3,0,9,0,4,1,1,65.5,61.49210000000001,0.639167,0.141796,783,4332,5115
245,2011-09-02,3,0,9,0,5,1,2,64.33330000000001,60.4808,0.727083,0.139929,875,3852,4727
246,2011-09-03,3,0,9,0,6,0,1,66.91669999999999,63.3213,0.716667,0.185325,1935,2549,4484
247,2011-09-04,3,0,9,0,0,0,1,70.9167,66.5429,0.742083,0.206467,2521,2419,4940
248,2011-09-05,3,0,9,1,1,0,2,67.3333,62.56460000000001,0.790417,0.212696,1236,2115,3351
249,2011-09-06,3,0,9,0,2,1,3,54.0,51.52,0.886957,0.343943,204,2506,2710
250,2011-09-07,3,0,9,0,3,1,3,59.9167,54.4229,0.917083,0.0970208,118,1878,1996
251,2011-09-08,3,0,9,0,4,1,3,63.39130000000001,55.5361,0.939565,0.192748,153,1689,1842
252,2011-09-09,3,0,9,0,5,1,2,65.0,57.8946,0.897917,0.124379,417,3127,3544
253,2011-09-10,3,0,9,0,6,0,1,66.0,60.7962,0.75375,0.153608,1750,3595,5345
254,2011-09-11,3,0,9,0,0,0,1,65.3333,60.9229,0.71375,0.115054,1633,3413,5046
255,2011-09-12,3,0,9,0,1,1,1,64.4348,60.21300000000001,0.692174,0.088913,690,4023,4713
256,2011-09-13,3,0,9,0,2,1,1,65.0833,60.3554,0.7125,0.141804,701,4062,4763
257,2011-09-14,3,0,9,0,3,1,1,67.3333,62.69,0.697083,0.1673,647,4138,4785
258,2011-09-15,3,0,9,0,4,1,2,57.75,55.3671,0.709167,0.271146,428,3231,3659
259,2011-09-16,3,0,9,0,5,1,2,46.9167,46.1475,0.590417,0.164183,742,4018,4760
260,2011-09-17,3,0,9,0,6,0,2,49.1667,47.8512,0.718333,0.189675,1434,3077,4511
261,2011-09-18,3,0,9,0,0,0,1,50.74999999999999,49.0537,0.695,0.178483,1353,2921,4274
262,2011-09-19,3,0,9,0,1,1,2,54.9167,52.9675,0.69,0.15174200000000002,691,3848,4539
263,2011-09-20,3,0,9,0,2,1,2,56.16670000000001,53.22170000000001,0.88125,0.134954,438,3203,3641
264,2011-09-21,3,0,9,0,3,1,2,59.5,55.05329999999999,0.9,0.0964042,539,3813,4352
265,2011-09-22,3,0,9,0,4,1,2,62.8333,55.4963,0.902083,0.128125,555,4240,4795
266,2011-09-23,4,0,9,0,5,1,2,60.9167,52.21249999999999,0.9725,0.0783667,258,2137,2395
